from_stop_id,to_stop_id,transfer_type,min_transfer_time
6591541,2036,2,204
3716877,2170,2,202
3926385,2331,2,244
5761326,2433,2,216
2147,4035036,2,208
5709889,2116,2,259
2147,4035037,2,191
4023367,1803,2,310
4015824,1933,2,290
3764742,2200,2,262
6423507,2035,2,198
5709981,1864,2,234
4037183,1955,2,198
3922294,2035,2,234
3764809,2331,2,233
3747868,2062,2,195
3748071,1725,2,224
4022890,2083,2,229
4037200,2331,2,233
5710037,2155,2,243
3764811,2036,2,243
3749720,2342,2,216
3813310,2429,2,224
4146115,1751,2,213
4037758,1856,2,196
4996976,1955,2,198
3926389,2288,2,205
3812918,2155,2,230
3740315,2147,2,201
4037774,2200,2,253
4037248,2470,2,192
3687469,1892,2,223
4037796,1755,2,222
3926292,1698,2,215
3926439,2036,2,160
4726939,2111,2,241
4044996,2210,2,383
3716894,1955,2,390
4022897,1961,2,245
6591456,2155,2,200
3813078,2111,2,264
3765442,1980,2,209
4036219,2035,2,204
3764806,2383,2,286
4036869,2036,2,199
4022898,2147,2,241
3687302,2155,2,294
4036647,1892,2,226
4726947,1955,2,395
4997021,2062,2,241
4024345,2283,2,286
4037773,1945,2,235
5727628,2155,2,160
4037189,2062,2,209
4651134,2155,2,243
4024169,1887,2,299
1913,1887,2,180
4726946,1955,2,356
4037188,2111,2,191
5675642,2210,2,189
4037759,2323,2,234
3687430,1892,2,226
5018338,2288,2,223
4036642,2111,2,195
3764507,1864,2,216
4009638,2170,2,202
4996975,1955,2,400
5151257,2283,2,286
4770181,2036,2,243
5710040,2331,2,207
4037214,1961,2,245
3749780,1773,2,216
3687698,2035,2,215
3672238,2429,2,225
4996974,1955,2,363
4036986,2155,2,189
4036649,2155,2,314
4022896,1961,2,196
3748094,2062,2,220
6217405,2147,2,208
4037776,2083,2,229
4023963,2283,2,286
2063,2062,2,75
1166832,1955,2,420
6591847,2036,2,241
4471844,1955,2,355
2219,2036,2,104
6114731,2036,2,256
3749908,2200,2,190
4459257,2062,2,209
3687469,2288,2,223
4037219,2433,2,222
